Date : 2023-12-29 23:26:02
Directory : d:\Electronic-Piano-Learning-Machine
Total : 331 files,  85934 codes, 8936 comments, 6795 blanks, all 101665 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Verilog          |        118 |     53,304 |      7,026 |      5,207 |     65,537 |
| XML              |        120 |     23,618 |          7 |        232 |     23,857 |
| Shell Script     |         29 |      4,542 |      1,630 |        819 |      6,991 |
| Log              |         16 |      1,883 |          0 |        238 |      2,121 |
| Ini              |          8 |      1,707 |          0 |          8 |      1,715 |
| JavaScript       |          8 |        785 |        209 |        246 |      1,240 |
| reStructuredText |         24 |         50 |          0 |         24 |         74 |
| Batch            |          7 |         44 |         64 |         19 |        127 |
| Markdown         |          1 |          1 |          0 |          2 |          3 |
+------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                     | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                        |        331 |     85,934 |      8,936 |      6,795 |    101,665 |
| . (Files)                                                                                                                                |          1 |          1 |          0 |          2 |          3 |
| Electronic-Piano-Learning-Machine.cache                                                                                                  |         11 |      4,763 |        164 |        142 |      5,069 |
| Electronic-Piano-Learning-Machine.cache\ip                                                                                               |         10 |      4,745 |        161 |        141 |      5,047 |
| Electronic-Piano-Learning-Machine.cache\ip\2023.1                                                                                        |         10 |      4,745 |        161 |        141 |      5,047 |
| Electronic-Piano-Learning-Machine.cache\ip\2023.1\3                                                                                      |          2 |      3,776 |         33 |         49 |      3,858 |
| Electronic-Piano-Learning-Machine.cache\ip\2023.1\3\5                                                                                    |          2 |      3,776 |         33 |         49 |      3,858 |
| Electronic-Piano-Learning-Machine.cache\ip\2023.1\3\5\355768f5240c0d94                                                                   |          2 |      3,776 |         33 |         49 |      3,858 |
| Electronic-Piano-Learning-Machine.cache\ip\2023.1\5                                                                                      |          2 |        255 |         33 |         23 |        311 |
| Electronic-Piano-Learning-Machine.cache\ip\2023.1\5\a                                                                                    |          2 |        255 |         33 |         23 |        311 |
| Electronic-Piano-Learning-Machine.cache\ip\2023.1\5\a\5a5d18c4b091e3e7                                                                   |          2 |        255 |         33 |         23 |        311 |
| Electronic-Piano-Learning-Machine.cache\ip\2023.1\8                                                                                      |          2 |        242 |         32 |         23 |        297 |
| Electronic-Piano-Learning-Machine.cache\ip\2023.1\8\4                                                                                    |          2 |        242 |         32 |         23 |        297 |
| Electronic-Piano-Learning-Machine.cache\ip\2023.1\8\4\8423a2099cfbfe0b                                                                   |          2 |        242 |         32 |         23 |        297 |
| Electronic-Piano-Learning-Machine.cache\ip\2023.1\a                                                                                      |          2 |        230 |         31 |         23 |        284 |
| Electronic-Piano-Learning-Machine.cache\ip\2023.1\a\d                                                                                    |          2 |        230 |         31 |         23 |        284 |
| Electronic-Piano-Learning-Machine.cache\ip\2023.1\a\d\ad628dfc43238c48                                                                   |          2 |        230 |         31 |         23 |        284 |
| Electronic-Piano-Learning-Machine.cache\ip\2023.1\f                                                                                      |          2 |        242 |         32 |         23 |        297 |
| Electronic-Piano-Learning-Machine.cache\ip\2023.1\f\6                                                                                    |          2 |        242 |         32 |         23 |        297 |
| Electronic-Piano-Learning-Machine.cache\ip\2023.1\f\6\f6f8fdbd73eb5941                                                                   |          2 |        242 |         32 |         23 |        297 |
